201,91.9,71.1,1
202,91,73,0
203,82.9,73,1
204,77,64,0
205,64.9,57,1
206,64.9,55.9,1
207,77,59,0
208,75,63,1
209,82,66,0
210,71.1,60.1,0
211,73,60.1,0
212,80.1,61,0
213,80.1,66.9,0
214,81,68,1
215,84,66,1
216,84.9,68,0
217,77,66.9,1
218,79,63,0
219,78.1,64,1
220,75,62.1,0
221,84.9,64.9,0
222,82,66,0
223,77,63,0
224,75.9,63,1
225,86,70,0
226,78.1,63,0
227,80.1,66,0
228,84.9,66,0
229,82.9,63,0
230,81,64.9,1
231,73.9,64.9,1
232,84.9,72,0
233,87.1,69.1,0
234,91,70,0
235,84,69.1,1
236,81,64,0
237,75.9,63,1
238,73.9,60.1,0
239,71.1,57.9,0
240,72,57,0
241,68,57.9,1
242,72,59,1
243,79,60.1,0
244,69.1,53.1,0
245,68,53.1,0
246,64,57,1
247,81,57.9,0
248,88,64.9,0
249,79,62.1,1
250,75.9,60.1,1
251,73.9,59,0
252,68,55,1
253,69.1,55.9,0
254,80.1,55,0
255,86,61,0
256,78.1,64,1
257,84,66.9,1
258,77,66,1
259,73,62.1,0
260,73,61,0
261,68,63,1
262,66,63,1
263,72,63,1
264,72,63,0
265,63,57,1
266,75.9,60.1,1
267,79,61,0
268,78.1,64,0
269,80.1,63,0
270,86,64.9,0
271,78.1,57,0
272,68,52,0
273,59,50,1
274,66,46.9,0
275,66,51.1,0
276,64.9,51.1,0
277,77,53.1,0
278,80.1,64,0
279,78.1,60.1,1
280,75.9,60.1,0
281,75,68,1
282,75,66.9,1
283,79,64.9,0
284,68,57,1
285,57.9,48,1
286,62.1,46.9,0
287,64,57,1
288,75,59,0
289,70,44.1,0
290,57.9,39.9,0
291,72,46.9,0
292,73.9,52,0
293,71.1,57.9,0
294,78.1,51.1,0
295,66,54,0
296,64,54,0
297,75,62.1,1
298,70,57.9,1
299,62.1,48.9,1
300,62.1,46.9,0
301,66.9,46,0
302,61,55.9,1
303,64.9,51.1,1
304,57.9,46,0
305,53.1,41,0
306,71.1,52,0
307,75,51.1,1
308,52,43,0
309,60.1,50,1
310,64,50,1
311,50,37,1
312,45,37,1
313,48,34,0
314,48.9,24.3,1
315,37,23.2,0
316,44.1,29.1,0
317,43,37,1
318,44.1,37,1
319,44.1,34,0
320,50,37.9,1
321,44.1,34,0
322,52,30.2,1
323,60.1,37.9,1
324,42.1,35.1,1
325,59,35.1,0
326,52,37.9,1
327,43,32,0
328,50,31.1,0
329,57.9,37.9,0
330,51.1,37,0
331,46.9,27.1,0
332,46.9,22.1,0
333,61,37.9,0
334,45,30.2,0
335,51.1,37.9,1
336,43,34,0
337,44.1,34,0
338,43,33.1,0
339,59,37.9,1
340,57.9,36,1
341,46.9,33.1,0
342,39,31.1,0
343,37,31.1,1
344,37.9,31.1,1
345,39,32,0
346,46,33.1,1
347,36,22.1,0
348,30.2,19.2,1
349,27.1,17.2,1
350,34,22.1,0
351,31.1,20.1,0
352,37.9,22.1,1
353,51.1,34,0
354,46.9,31.1,0
355,33.1,26.2,0
356,37.9,23.2,1
357,43,25.2,1
358,39,32,0
359,37.9,23.2,1
360,27.1,19.2,0
361,20.1,12.2,0
362,12.2,5.2,0
363,14.2,2.1,0
364,18.1,6.3,1
365,13.1,4.1,0
1,13.1,0.1,0
2,19.2,4.1,0
3,29.1,16.2,0
4,30.2,22.1,1
5,24.3,6.3,0
6,12.2,1.2,0
7,17.2,0.8,0
8,35.1,17.2,1
9,43,31.1,0
10,36,25.2,0
11,51.1,33.1,0
12,60.1,39,1
13,61,19.2,1
14,23.2,14.2,0
15,21.2,12.2,1
16,33.1,20.1,0
17,34,31.1,1
18,32,21.2,0
19,34,23.2,0
20,46.9,29.1,0
21,48.9,34,0
22,39,34,1
23,55,32,1
24,42.1,24.3,0
25,30.2,21.2,0
26,34,19.2,0
27,53.1,25.2,0
28,52,43,1
29,43,28.2,1
30,31.1,20.1,1
31,30.2,18.1,0
32,46,30.2,1
33,37.9,12.2,1
34,28.2,10.2,0
35,43,26.2,1
36,43,24.3,1
37,34,22.1,1
38,43,23.2,1
39,34,22.1,0
40,32,22.1,0
41,52,30.2,1
42,48.9,37.9,1
43,48,33.1,0
44,33.1,25.2,0
45,46.9,28.2,0
46,48.9,35.1,1
47,54,34,1
48,35.1,27.1,1
49,44.1,32,1
50,50,26.2,1
51,70,42.1,1
52,72,41,0
53,55,32,1
54,39.9,31.1,1
55,55,37,0
56,41,37,1
57,51.1,37.9,0
58,53.1,36,0
